lnprice,hp,seat,limit,top,rwd,year,acc,na,tt,ttt,hyb,speed,weight,hp2
11.00034831,405,2,0,0,1,2021,4.2,0,1,0,0,155,1495,164025
11.21046811,429,4,0,0,1,2021,4.2,0,0,0,0,130,1969,184041
11.16895519,473,4,0,0,1,2021,4.1,0,1,0,0,155,1471,223729
11.19540255,473,4,0,0,1,2021,3.8,0,1,0,0,155,1737,223729
11.76950379,443,4,0,1,1,2021,3.7,0,1,0,0,191,1604,196249
11.20904626,503,4,0,0,1,2021,3.6,0,1,0,0,155,1732,253009
11.82444613,443,4,0,1,0,2021,3.6,0,1,0,0,193,1651,196249
12.72939486,715,4,0,1,1,2021,3.5,0,1,0,0,211,1862,511225
11.66521728,443,4,0,0,1,2021,3.5,0,1,0,0,191,1534,196249
11.23446739,503,4,0,0,1,2021,3.4,0,1,0,0,155,1759,253009
11.94470788,550,2,0,0,1,2021,3.4,0,1,0,0,196,1669,302500
11.72601868,443,4,0,0,0,2021,3.4,0,1,0,0,193,1587,196249
12.32829028,562,2,0,0,1,2010,3.3,1,0,0,0,202,1485,315844
12.47990931,562,2,0,1,1,2010,3.3,1,0,0,0,199,1534,315844
11.82407989,577,4,0,0,0,2019,3.3,0,1,0,0,193,1769,332929
15.06827353,791,2,1,0,1,2021,3.3,0,1,0,0,230,1224,625681
15.03928599,791,2,1,1,1,2020,3.3,0,1,0,0,230,1250,625681
12.00456827,502,2,0,0,1,2022,3.3,1,0,0,0,198,1457,252004
12.67333815,715,4,0,0,1,2021,3.2,0,1,0,0,211,1845,511225
12.17044547,562,2,0,0,1,2021,3.2,0,1,0,0,204,1456,315844
12.27279628,562,2,0,1,1,2022,3.2,0,1,0,0,204,1498,315844
12.02963375,557,2,0,0,1,2021,3.2,0,1,0,0,198,1554,310249
11.61814097,617,4,0,0,0,2021,3.1,0,1,0,0,155,1851,380689
12.26996252,612,2,0,0,1,2021,3.1,0,1,0,0,203,1571,374544
12.69771545,720,2,1,0,1,2021,3.1,0,1,0,0,202,1594,518400
11.79051932,617,4,0,0,0,2022,3,0,1,0,0,195,2032,380689
12.39973383,661,2,0,0,1,2016,3,0,1,0,0,205,1474,436921
11.87056494,627,4,1,0,0,2022,2.9,0,1,0,0,190,1747,393129
12.55919127,660,2,0,1,1,2016,2.9,0,1,0,0,203,1524,435600
12.69693533,730,2,0,0,1,2016,2.9,1,0,0,0,211,1630,532900
12.6181823,710,2,0,1,1,2021,2.9,0,0,1,0,211,1505,504100
12.3883942,592,2,1,0,1,2019,2.9,0,1,0,0,204,1247,350464
12.46458334,592,2,1,1,1,2020,2.9,0,1,0,0,201,1296,350464
12.29064355,640,4,0,1,0,2021,2.9,0,1,0,0,205,1719,409600
12.15504247,520,2,0,0,1,2019,2.9,1,0,0,0,193,1430,270400
12.20754656,602,2,0,0,0,2021,2.8,1,0,0,0,200,1695,362404
12.26290184,602,2,0,1,0,2021,2.8,1,0,0,0,200,1774,362404
13.10216067,769,2,1,0,1,2016,2.8,1,0,0,0,215,1632,591361
12.54254488,710,2,0,0,1,2021,2.8,0,0,1,0,211,1541,504100
14.73180129,1160,2,1,0,0,2021,2.8,0,1,0,0,277,1395,1345600
11.58524613,603,4,0,0,0,2021,2.8,0,1,0,0,186,1995,363609
12.70987365,711,2,1,0,1,2020,2.7,0,1,0,0,211,1385,505521
12.76939584,711,2,1,1,0,2020,2.7,0,1,0,0,211,1485,505521
12.91039218,789,2,0,1,1,2021,2.7,1,0,0,0,211,1769,622521
12.72188581,788,2,0,0,1,2021,2.7,1,0,0,0,211,1630,620944
12.95115029,730,2,0,0,0,2021,2.7,1,0,0,0,217,1575,532900
13.04746094,730,2,0,1,0,2021,2.7,1,0,0,0,217,1625,532900
13.11814449,740,2,1,0,0,2016,2.7,1,0,0,0,217,1852,547600
13.18063229,740,2,1,0,0,2016,2.7,1,0,0,0,217,1575,547600
13.86430072,789,2,1,0,1,2021,2.7,0,1,0,0,208,1198,622521
12.58861025,700,2,0,0,1,2021,2.7,0,1,0,0,211,1470,490000
13.17389834,759,2,1,0,0,2021,2.6,1,0,0,0,219,1639,576081
13.26639619,759,2,1,1,0,2021,2.6,1,0,0,0,211,1575,576081
12.6165253,710,2,0,0,1,2021,2.6,0,1,0,0,212,1423,504100
12.66980666,710,2,0,1,1,2021,2.6,0,1,0,0,212,1468,504100
12.23003328,640,4,0,0,0,2021,2.6,0,1,0,0,205,1649,409600
14.84512998,1603,2,1,0,0,2021,2.5,0,1,0,0,300,1320,2569609
12.24803479,610,2,0,0,1,2021,2.5,1,0,0,0,202,1653,372100
14.11561515,903,2,1,0,1,2014,2.5,0,1,0,1,217,1490,815409
14.16360217,950,2,1,0,0,2016,2.4,0,0,0,1,218,1255,902500
13.64709191,887,2,1,0,0,2015,2.2,1,0,0,1,214,1633,786769